study_hours,gpa,attendance,exam_score
6.96,3.25,72.8,105.4
2.86,2.23,87.7,81.8
2.27,2.63,82.2,82.6
5.51,2.83,75.6,80.9
7.19,3.73,97.0,122.2
4.23,2.5,93.7,79.3
9.81,2.97,74.3,112.7
6.85,3.97,61.7,119.0
4.81,3.04,72.2,87.8
3.92,3.23,75.9,96.7
3.43,2.24,88.2,92.4
7.29,3.65,99.8,121.5
4.39,3.21,74.2,83.1
0.6,3.09,90.5,78.1
3.98,2.69,83.7,105.6
7.38,2.61,87.7,89.4
1.82,2.83,66.0,74.2
1.75,3.36,76.0,79.9
5.32,3.75,69.6,103.3
5.32,3.02,73.7,102.2
6.34,3.34,80.5,119.0
8.49,3.17,86.7,113.8
7.24,3.25,64.2,110.9
6.11,3.35,65.2,104.6
7.22,3.68,72.9,115.0
3.23,2.17,86.5,77.6
3.62,3.53,93.9,91.7
2.28,2.49,82.1,71.0
2.94,2.39,94.2,79.3
6.31,3.14,75.4,105.0
0.92,2.19,72.7,73.9
4.34,3.77,74.2,102.1
4.31,3.25,66.8,87.6
4.94,3.45,93.2,119.1
4.26,2.03,73.5,93.7
3.12,3.19,82.1,87.7
4.26,3.11,83.1,88.7
8.93,2.32,80.9,108.7
9.44,2.31,60.1,113.7
5.02,3.39,99.5,109.0
