,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logreg__C,param_logreg__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.02,0.01,0.0,0.0,0.0,0.0,"{'logreg__C': 0.001, 'logreg__l1_ratio': 0.0}",0.99,1.0,0.98,0.97,0.99,0.99,0.01,10,0.99,0.98,0.99,0.99,0.99,0.99,0.0
1,0.01,0.01,0.0,0.0,0.0,1.0,"{'logreg__C': 0.001, 'logreg__l1_ratio': 1.0}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,12,0.5,0.5,0.5,0.5,0.5,0.5,0.0
2,0.0,0.0,0.0,0.0,0.01,0.0,"{'logreg__C': 0.01, 'logreg__l1_ratio': 0.0}",0.99,1.0,1.0,0.98,0.99,0.99,0.01,5,0.99,0.99,0.99,1.0,0.99,0.99,0.0
3,0.0,0.0,0.0,0.0,0.01,1.0,"{'logreg__C': 0.01, 'logreg__l1_ratio': 1.0}",0.99,1.0,0.97,0.96,0.99,0.98,0.02,11,0.98,0.98,0.99,0.98,0.98,0.98,0.0
4,0.0,0.0,0.0,0.0,0.1,0.0,"{'logreg__C': 0.1, 'logreg__l1_ratio': 0.0}",1.0,1.0,1.0,0.98,1.0,0.99,0.01,3,1.0,1.0,0.99,1.0,1.0,1.0,0.0
5,0.0,0.0,0.0,0.0,0.1,1.0,"{'logreg__C': 0.1, 'logreg__l1_ratio': 1.0}",0.99,1.0,0.98,0.98,1.0,0.99,0.01,7,0.99,0.99,0.99,0.99,0.99,0.99,0.0
6,0.0,0.0,0.0,0.0,1.0,0.0,"{'logreg__C': 1, 'logreg__l1_ratio': 0.0}",1.0,1.0,1.0,0.99,1.0,1.0,0.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,0.0,0.0,0.0,0.0,1.0,1.0,"{'logreg__C': 1, 'logreg__l1_ratio': 1.0}",1.0,1.0,1.0,0.99,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0.0,0.0,0.0,0.0,10.0,0.0,"{'logreg__C': 10, 'logreg__l1_ratio': 0.0}",0.99,1.0,1.0,0.99,1.0,0.99,0.0,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,0.01,0.0,0.0,0.0,10.0,1.0,"{'logreg__C': 10, 'logreg__l1_ratio': 1.0}",0.99,0.99,1.0,0.99,1.0,0.99,0.0,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,0.0,0.0,0.0,0.0,100.0,0.0,"{'logreg__C': 100, 'logreg__l1_ratio': 0.0}",0.99,0.99,1.0,0.99,1.0,0.99,0.0,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,0.02,0.01,0.0,0.0,100.0,1.0,"{'logreg__C': 100, 'logreg__l1_ratio': 1.0}",0.99,0.98,1.0,0.98,0.99,0.99,0.01,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
